SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
040,3,6,01,000,Alabama,Alabama,4779736,4780127,4785161,4801108,4816089,4830533,4846411,4858979,5034,15947,14981,14444,15878,12568,14226,59689,59062,57938,58334,58305,11089,48811,48357,50843,50228,50330,3137,10878,10705,7095,8106,7975,1357,4926,4904,4834,5529,5726,537,11,-929,1838,2816,-2268,1894,4937,3975,6672,8345,3458,3,132,301,677,-573,1135,116185,116212,115560,115666,116963,119088,119599,12.453020044,12.282580881,12.012080498,12.056285538,12.014973123,10.183523955,10.056360497,10.541099257,10.380963246,10.371556424,2.2694960886,2.2262203842,1.4709812409,1.6753222918,1.6434166994,1.0277199607,1.0198397724,1.0022161125,1.1427161302,1.1799628866,0.0022949492,-0.193195585,0.3810660353,0.5820019213,-0.467369163,1.0300149099,0.8266441875,1.3832821479,1.7247180515,0.7125937237
050,3,6,01,001,Alabama,Autauga County,54571,54571,54660,55253,55175,55038,55290,55347,89,593,-78,-137,252,57,151,636,615,574,623,600,152,507,558,583,504,467,-1,129,57,-9,119,133,33,20,16,16,18,19,49,398,-161,-166,125,-140,82,418,-145,-150,143,-121,8,46,10,22,-10,45,455,455,455,455,455,455,455,11.572789388,11.138479371,10.416194097,11.293597274,10.846281081,9.2254783329,10.106132503,10.579514213,9.1363933,8.4420221083,2.3473110551,1.0323468685,-0.163320117,2.1572039736,2.404258973,0.3639241946,0.2897815771,0.2903468738,0.3262997607,0.3434655676,7.2420914723,-2.91592712,-3.012348815,2.2659705605,-2.530798919,7.6060156669,-2.626145543,-2.722001942,2.5922703212,-2.187333351
050,3,6,01,003,Alabama,Baldwin County,182265,182265,183193,186659,190396,195126,199713,203709,928,3466,3737,4730,4587,3996,517,2187,2092,2160,2186,2240,532,1825,1879,1902,2044,1992,-15,362,213,258,142,248,69,187,172,170,212,221,856,2743,3327,4211,3799,3469,925,2930,3499,4381,4011,3690,18,174,25,91,434,58,2307,2307,2307,2249,2304,2308,2309,11.826352162,11.09652438,11.205586192,11.072867675,11.104996753,9.8688123898,9.9667157311,9.8671411748,10.353587158,9.8755149694,1.9575397727,1.1298086486,1.3384450174,0.7192805169,1.2294817833,1.0112152969,0.9123337444,0.8819211355,1.0738554196,1.0956269118,14.832960211,17.647292835,21.845705303,19.243286504,17.197872203,15.844175508,18.55962658,22.727626439,20.317141924,18.293499115
050,3,6,01,005,Alabama,Barbour County,27457,27457,27341,27226,27159,26973,26815,26489,-116,-115,-67,-186,-158,-326,70,335,300,283,260,269,128,319,291,294,310,309,-58,16,9,-11,-50,-40,2,-4,-7,-3,-2,0,-62,-129,-68,-191,-105,-281,-60,-133,-75,-194,-107,-281,2,2,-1,19,-1,-5,3193,3193,3382,3388,3389,3353,3352,12.278483332,11.032453802,10.45592256,9.6675838477,10.093051178,11.692048308,10.701480188,10.862336511,11.526734588,11.593876632,0.5864350248,0.330973614,-0.406413951,-1.85915074,-1.500825454,-0.146608756,-0.257423922,-0.110840168,-0.07436603,0,-4.728132388,-2.500689528,-7.05682406,-3.904216554,-10.54329881,-4.874741144,-2.75811345,-7.167664228,-3.978582583,-10.54329881
050,3,6,01,007,Alabama,Bibb County,22915,22919,22861,22733,22642,22512,22549,22583,-58,-128,-91,-130,37,34,44,266,245,259,247,253,34,278,237,281,211,223,10,-12,8,-22,36,30,2,10,16,18,21,21,-69,-126,-115,-140,-4,4,-67,-116,-99,-122,17,25,-1,0,0,14,-16,-21,2224,2224,2224,2224,2224,2233,2236,11.668201956,10.798898072,11.471851885,10.962916935,11.21155721,12.194587007,10.446280992,12.446294902,9.3650828876,9.8821235487,-0.526385051,0.3526170799,-0.974443017,1.5978340472,1.3294336613,0.4386542089,0.7052341598,0.7972715596,0.9320698609,0.9306035629,-5.527043032,-5.068870523,-6.201001019,-0.177537116,0.1772578215,-5.088388823,-4.363636364,-5.403729459,0.7545327445,1.1078613844
050,3,6,01,009,Alabama,Blount County,57322,57322,57373,57711,57776,57734,57658,57673,51,338,65,-42,-76,15,183,744,710,646,618,603,133,570,592,585,589,590,50,174,118,61,29,13,5,3,19,20,28,28,-3,104,-68,-101,-119,-79,2,107,-49,-81,-91,-51,-1,57,-4,-22,-14,53,489,489,489,489,489,489,489,12.929686142,12.295756232,11.185178772,10.711314476,10.456858954,9.9058079316,10.252236182,10.128993161,10.208679978,10.231420867,3.0238782107,2.0435200499,1.0561856116,0.5026344981,0.2254380869,0.0521358312,0.329041364,0.3462903645,0.485302274,0.4855589564,1.8073754823,-1.177621724,-1.748766341,-2.062534664,-1.369969913,1.8595113135,-0.84858036,-1.402475976,-1.57723239,-0.884410956
050,3,6,01,011,Alabama,Bullock County,10914,10915,10887,10629,10606,10628,10829,10696,-28,-258,-23,22,201,-133,39,169,122,132,118,123,52,132,116,120,99,109,-13,37,6,12,19,14,7,21,25,28,31,32,-23,-333,-55,-12,154,-174,-16,-312,-30,16,185,-142,1,17,1,-6,-3,-5,1690,1690,1690,1777,1715,1757,1757,15.709239636,11.490463857,12.432890647,10.998741669,11.428571429,12.26993865,10.925359077,11.302627861,9.2277578413,10.12775842,3.4393009853,0.5651047798,1.1302627861,1.7709838281,1.3008130081,1.9520356944,2.3546032494,2.6372798342,2.8894999301,2.9732868757,-30.95370887,-5.180127149,-1.130262786,14.354289975,-16.16724739,-29.00167317,-2.825523899,1.5070170481,17.243789905,-13.19396051
050,3,6,01,013,Alabama,Butler County,20947,20946,20944,20673,20408,20261,20276,20154,-2,-271,-265,-147,15,-122,65,276,241,240,267,257,60,261,271,261,265,236,5,15,-30,-21,2,21,0,2,2,2,2,2,-5,-292,-240,-115,22,-132,-5,-290,-238,-113,24,-130,-2,4,3,-13,-11,-13,333,333,333,333,333,333,333,13.263810462,11.732917894,11.80260149,13.173150455,12.713331684,12.542951198,13.193447092,12.83532912,13.074475171,11.674499134,0.7208592642,-1.460529198,-1.03272763,0.0986752843,1.0388325501,0.0961145686,0.0973686132,0.0983550124,0.0986752843,0.0989364333,-14.03272701,-11.68423359,-5.655413214,1.0854281274,-6.529804601,-13.93661244,-11.58686497,-5.557058202,1.1841034117,-6.430868167
050,3,6,01,015,Alabama,Calhoun County,118572,118586,118437,117768,117286,116575,115993,115620,-149,-669,-482,-711,-582,-373,317,1382,1357,1309,1355,1335,312,1326,1357,1412,1407,1395,5,56,0,-103,-52,-60,6,43,61,54,64,66,-155,-727,-542,-646,-519,-391,-149,-684,-481,-592,-455,-325,-5,-41,-1,-16,-75,12,2933,2934,2882,2958,2812,2797,2804,11.701699795,11.546282982,11.194684022,11.652505934,11.527850337,11.227535404,11.546282982,12.075549151,12.099686973,12.04595597,0.4741643911,0,-0.880865129,-0.44718104,-0.518105633,0.3640905146,0.5190296698,0.4618127862,0.550376664,0.5699161964,-6.155669863,-4.611706246,-5.524649257,-4.46321076,-3.376321709,-5.791579348,-4.092676576,-5.062836471,-3.912834096,-2.806405513
050,3,6,01,017,Alabama,Chambers County,34215,34170,34098,33993,34075,34153,34052,34123,-72,-105,82,78,-101,71,81,401,393,404,421,429,80,441,475,452,491,457,1,-40,-82,-48,-70,-28,7,31,29,31,34,34,-74,-93,131,98,-78,46,-67,-62,160,129,-44,80,-6,-3,4,-3,13,19,458,458,458,458,458,458,458,11.778355436,11.547276253,11.842645248,12.345135987,12.585258526,12.953253734,13.956631604,13.249692208,14.397771424,13.406674001,-1.174898298,-2.409355351,-1.40704696,-2.052635437,-0.821415475,0.9105461808,0.8520890874,0.9087178285,0.9969943553,0.9974330766,-2.731638543,3.8490920844,2.8727208771,-2.287222344,1.3494682802,-1.821092362,4.7011811718,3.7814387055,-1.290227989,2.3469013568
